Code;Libellé;Population municipale 2020;Taux de pauvreté 2020;Densité de population (historique depuis 1876) 2020;Salaire net horaire moyen 2021
292;Châteaulin;80876;13.4;46;13.21
293;Morlaix;129463;11.6;97.3;13.71
294;Quimper;327502;10.7;145.6;14.19
2A1;Ajaccio;119839;14.3;53.9;14.62
2A4;Sartène;40975;21.1;22.9;13.45
2B2;Bastia;92126;18.4;194.5;14.33
2B3;Corte;59732;22.2;20.9;13.2
2B5;Calvi;31029;20.6;23.2;13.35
301;Alès;151942;22;119.3;13.32
302;Nîmes;560349;18.5;175.8;15.05
303;Le Vigan;39166;21.7;28.2;13.42
311;Muret;229346;10.6;140.6;15.95
312;Saint-Gaudens;77524;17.1;36.2;13.69
313;Toulouse;1108887;13.6;436.8;17.39
321;Auch;83350;12.4;43.3;15.04
322;Condom;66983;17.1;27.2;13.52
323;Mirande;41486;17;22.2;13.02
331;Blaye;93969;13.7;120.1;14.27
332;Bordeaux;999388;12.4;656.7;16.71
333;Langon;134089;13.9;50.7;13.99
334;Lesparre-Médoc;93038;11.7;40.9;14.46
335;Libourne;155718;15;121.4;14.37
336;Arcachon;160189;8.7;109;15.93
341;Béziers;318868;22.3;103.2;13.45
342;Lodève;146127;14;72.9;16.05
343;Montpellier;723978;18.1;720.5;15.54
351;Fougères-Vitré;186784;9.4;86;13.92
352;Redon;104288;9.7;80.1;14.05
353;Rennes;626988;11.4;281.4;16.14
354;Saint-Malo;170795;10.5;159.5;14.69
361;Le Blanc;30649;15.5;17.2;12.46
362;Châteauroux;127129;14.7;48.5;13.36
363;La Châtre;27758;15.6;23.1;12.99
364;Issoudun;33171;12.4;28.1;13.64
371;Chinon;103488;11;45.1;14.46
372;Tours;392039;13.3;360.4;15.7
373;Loches;116592;10.7;42.5;14.26
381;Grenoble;746358;11.7;169.7;17.14
382;La Tour-du-Pin;313305;10.4;203;15.72
383;Vienne;217850;11.3;146.2;15.8
391;Dole;106109;11.6;60;14.47
